epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
165,16255.1,0.84062,0.7565,0.87321,0.65568,0.61156,0.64853,0.4782,1.00082,1.22934,0.94266,0.001882,0.001882,0.001882
166,16353.7,0.82601,0.72916,0.87466,0.65481,0.60975,0.64845,0.47828,1.00048,1.23164,0.94262,0.0018325,0.0018325,0.0018325
167,16452.2,0.82536,0.73219,0.86935,0.65226,0.6144,0.64846,0.478,0.99734,1.23397,0.94181,0.001783,0.001783,0.001783
168,16550.5,0.83339,0.73541,0.87255,0.64821,0.61633,0.64884,0.47882,0.99878,1.2361,0.94208,0.0017335,0.0017335,0.0017335
169,16649.1,0.8354,0.73846,0.87594,0.64761,0.61629,0.64845,0.47788,1.00283,1.23856,0.94293,0.001684,0.001684,0.001684
170,16747.2,0.81586,0.71431,0.86874,0.65775,0.61134,0.64841,0.47876,1.00043,1.23677,0.94232,0.0016345,0.0016345,0.0016345
171,16845.5,0.82039,0.70522,0.86741,0.65762,0.60955,0.64858,0.47909,0.99935,1.23965,0.94206,0.001585,0.001585,0.001585
172,16943.9,0.81819,0.7149,0.87143,0.65836,0.60908,0.64906,0.47952,0.99885,1.24084,0.94187,0.0015355,0.0015355,0.0015355
173,17042.6,0.81295,0.70753,0.86294,0.66026,0.60908,0.64858,0.479,1.00075,1.24154,0.94217,0.001486,0.001486,0.001486
174,17140.7,0.81917,0.70988,0.87077,0.66215,0.60908,0.6483,0.47845,0.99917,1.24269,0.94185,0.0014365,0.0014365,0.0014365
175,17239.1,0.8141,0.69574,0.86697,0.65835,0.61123,0.64862,0.47853,0.99771,1.24428,0.94153,0.001387,0.001387,0.001387
176,17337.2,0.80639,0.67734,0.86694,0.65825,0.61154,0.64904,0.47941,1.00039,1.24619,0.94199,0.0013375,0.0013375,0.0013375
177,17435.7,0.81287,0.69335,0.86487,0.65873,0.61227,0.64879,0.4792,0.99772,1.24826,0.94139,0.001288,0.001288,0.001288
178,17534.1,0.80823,0.68572,0.86756,0.65885,0.6134,0.64869,0.47925,0.99815,1.25013,0.94149,0.0012385,0.0012385,0.0012385
179,17632.8,0.79851,0.67281,0.86539,0.65604,0.61843,0.64791,0.47859,0.99956,1.25169,0.94175,0.001189,0.001189,0.001189
180,17731.5,0.79706,0.67281,0.86534,0.65367,0.61885,0.64813,0.47853,1.00185,1.25372,0.94221,0.0011395,0.0011395,0.0011395
181,17830,0.79177,0.66522,0.86454,0.65292,0.61897,0.64801,0.47836,1.00234,1.25581,0.9422,0.00109,0.00109,0.00109
182,17928.5,0.79019,0.66832,0.86202,0.65256,0.62021,0.64779,0.47778,1.00267,1.25556,0.94217,0.0010405,0.0010405,0.0010405
183,18027.9,0.78898,0.66866,0.86485,0.6442,0.62816,0.64735,0.47812,1.00389,1.25781,0.94259,0.000991,0.000991,0.000991
184,18127.3,0.78941,0.65715,0.86237,0.64495,0.62776,0.64772,0.47742,1.00449,1.26079,0.94265,0.0009415,0.0009415,0.0009415
